"","Strain","Mice_ID","Delivery_Date","Shipment","Birth_date","Experiment_date","3_Weeks_lag","Age_min_sd","Age_max_sd","Age","Treatment","Sample","Group"
"4-BXD64-123","BXD64","4-BXD64-123","31.01.2020",4,"03.12.2019","mardi, 3 mars 2020","21.02.2020","25.02.2020","16.03.2020",13,"SD","123","BXD64_SD"
"4-BXD81-124","BXD81","4-BXD81-124","31.01.2020",4,"26.11.2019","lundi, 2 mars 2020","21.02.2020","18.02.2020","09.03.2020",13.85714286,"CTRL","124","BXD81_CTRL"
"4-BXD81-125","BXD81","4-BXD81-125","31.01.2020",4,"26.11.2019","mardi, 3 mars 2020","21.02.2020","18.02.2020","09.03.2020",14,"SD","125","BXD81_SD"
"4-BXD83-126","BXD83","4-BXD83-126","31.01.2020",4,"19.11.2019","lundi, 24 février 2020","21.02.2020","11.02.2020","02.03.2020",13.85714286,"CTRL","126","BXD83_CTRL"
"4-BXD83-127","BXD83","4-BXD83-127","31.01.2020",4,"19.11.2019","mardi, 25 février 2020","21.02.2020","11.02.2020","02.03.2020",14,"SD","127","BXD83_SD"
"4-BXD84-128","BXD84","4-BXD84-128","31.01.2020",4,"26.11.2019","lundi, 2 mars 2020","21.02.2020","18.02.2020","09.03.2020",13.85714286,"CTRL","128","BXD84_CTRL"
"4-BXD84-129","BXD84","4-BXD84-129","31.01.2020",4,"26.11.2019","mardi, 3 mars 2020","21.02.2020","18.02.2020","09.03.2020",14,"SD","129","BXD84_SD"
"4-BXD85-130","BXD85","4-BXD85-130","31.01.2020",4,"03.12.2019","lundi, 2 mars 2020","21.02.2020","25.02.2020","16.03.2020",12.85714286,"CTRL","130","BXD85_CTRL"
"4-BXD85-131","BXD85","4-BXD85-131","31.01.2020",4,"03.12.2019","mardi, 3 mars 2020","21.02.2020","25.02.2020","16.03.2020",13,"SD","131","BXD85_SD"
"4-BXD89-132","BXD89","4-BXD89-132","31.01.2020",4,"26.11.2019","lundi, 2 mars 2020","21.02.2020","18.02.2020","09.03.2020",13.85714286,"CTRL","132","BXD89_CTRL"
"4-BXD89-133","BXD89","4-BXD89-133","31.01.2020",4,"26.11.2019","mardi, 3 mars 2020","21.02.2020","18.02.2020","09.03.2020",14,"SD","133","BXD89_SD"
"4-BXD95-134","BXD95","4-BXD95-134","31.01.2020",4,"26.11.2019","lundi, 24 février 2020","21.02.2020","18.02.2020","09.03.2020",12.85714286,"CTRL","134","BXD95_CTRL"
"4-BXD95-135","BXD95","4-BXD95-135","31.01.2020",4,"26.11.2019","mardi, 25 février 2020","21.02.2020","18.02.2020","09.03.2020",13,"SD","135","BXD95_SD"
"4-BXD48a-136","48a","4-BXD48a-136","31.01.2020",4,"19.11.2019","lundi, 24 février 2020","21.02.2020","11.02.2020","02.03.2020",13.85714286,"CTRL","136","48a_CTRL"
"4-BXD48a-137","48a","4-BXD48a-137","31.01.2020",4,"19.11.2019","mardi, 25 février 2020","21.02.2020","11.02.2020","02.03.2020",14,"SD","137","48a_SD"
"4-BXD65a-138","65a","4-BXD65a-138","31.01.2020",4,"26.11.2019","lundi, 24 février 2020","21.02.2020","18.02.2020","09.03.2020",12.85714286,"CTRL","138","65a_CTRL"
